Month,Value,Actual
1,104129.6,
2,134534.6,
3,159569.1,
4,132381.5,
5,172697.5,
6,108723.5,
7,113114.8,
8,119233.3,
9,130508.6,
10,113454.3,
11,159880.2,
12,108093.8,
13,105237,
14,103348.1,
15,138243.2,
16,148421,
17,151198.8,
18,176958,
19,145863,
20,136053.1,
21,126769.1,
22,147081.5,
23,143674.1,
24,140667.9,
25,141146.9,
26,150216,
27,197712.3,
28,183164.2,
29,220295.1,
30,180459.3,
31,177511.1,
32,148322.2,
33,136680.2,
34,150381.5,
35,133448.1,
36,128992.6,
37,165524.7,
38,151479,
39,182903.7,
40,199316,
41,206904.9,
42,165127.2,
43,161980.2,
44,191277.8,
45,204459.3,
46,147151.9,
47,146402.5,
48,157793.8,
49,171934.6,
50,162127.2,
51,173704.9,
52,192549.4,
53,215040.7,
54,207066.7,
55,168312.3,
56,173144.4,
57,242993.8,
58,136842,
59,120828.4,
60,157479,
61,111424.7,
62,146249.4,
63,173538.3,
64,184680.2,
65,162780.2,
66,178883.9,
67,165822.2,
68,179933.3,
69,165917.3,
70,126365.4,
71,114227,
72,142521,
73,122675,
74,176911,
75,181506,
76,164574,
77,181680,
78,188057,
79,157505,
80,140510,
81,116897,
82,126201,
83,,124115
84,,146054
85,,114939
86,,124043
87,,150421
88,,156102
89,,182716
90,,176725
91,,152969
92,,147668
93,,137526
94,,113780
95,,101330
96,,106305
