"","False Positive rate","True Positive rate","classes[i]"
"1",0,0,"setosa"
"2",0,0.64,"setosa"
"3",0,0.8,"setosa"
"4",0,0.88,"setosa"
"5",0,0.92,"setosa"
"6",0,0.96,"setosa"
"7",0,1,"setosa"
"8",0.02,1,"setosa"
"9",0.04,1,"setosa"
"10",0.08,1,"setosa"
"11",0.12,1,"setosa"
"12",0.16,1,"setosa"
"13",0.22,1,"setosa"
"14",1,1,"setosa"
"15",0,0,"versicolor"
"16",0,0.04,"versicolor"
"17",0,0.24,"versicolor"
"18",0,0.44,"versicolor"
"19",0,0.56,"versicolor"
"20",0,0.68,"versicolor"
"21",0,0.72,"versicolor"
"22",0,0.76,"versicolor"
"23",0,0.8,"versicolor"
"24",0,0.84,"versicolor"
"25",0,0.88,"versicolor"
"26",0,0.92,"versicolor"
"27",0.02,0.92,"versicolor"
"28",0.04,0.92,"versicolor"
"29",0.06,0.92,"versicolor"
"30",0.08,0.92,"versicolor"
"31",0.1,0.92,"versicolor"
"32",0.1,0.96,"versicolor"
"33",0.12,0.96,"versicolor"
"34",0.12,1,"versicolor"
"35",0.14,1,"versicolor"
"36",0.16,1,"versicolor"
"37",0.18,1,"versicolor"
"38",0.2,1,"versicolor"
"39",0.22,1,"versicolor"
"40",0.24,1,"versicolor"
"41",0.26,1,"versicolor"
"42",0.28,1,"versicolor"
"43",0.3,1,"versicolor"
"44",0.34,1,"versicolor"
"45",0.36,1,"versicolor"
"46",0.42,1,"versicolor"
"47",0.58,1,"versicolor"
"48",1,1,"versicolor"
"49",0,0,"virginica"
"50",0,0.2,"virginica"
"51",0,0.36,"virginica"
"52",0,0.4,"virginica"
"53",0,0.44,"virginica"
"54",0,0.48,"virginica"
"55",0,0.52,"virginica"
"56",0,0.6,"virginica"
"57",0,0.64,"virginica"
"58",0,0.68,"virginica"
"59",0,0.72,"virginica"
"60",0,0.76,"virginica"
"61",0.02,0.76,"virginica"
"62",0.02,0.8,"virginica"
"63",0.04,0.8,"virginica"
"64",0.04,0.84,"virginica"
"65",0.04,0.88,"virginica"
"66",0.04,0.92,"virginica"
"67",0.04,0.96,"virginica"
"68",0.04,1,"virginica"
"69",0.06,1,"virginica"
"70",0.08,1,"virginica"
"71",0.1,1,"virginica"
"72",0.14,1,"virginica"
"73",0.16,1,"virginica"
"74",0.2,1,"virginica"
"75",0.22,1,"virginica"
"76",0.28,1,"virginica"
"77",0.38,1,"virginica"
"78",0.5,1,"virginica"
"79",1,1,"virginica"
