"original","fitted","Actual","predicted","upper_95","lower_95"
104129.6,104025.470489234,NA,NA,NA,NA
134534.6,111309.826509847,NA,NA,NA,NA
159569.1,130708.35380246,NA,NA,NA,NA
132381.5,139735.721538223,NA,NA,NA,NA
172697.5,136932.519608418,NA,NA,NA,NA
108723.5,145382.471924065,NA,NA,NA,NA
113114.8,123208.616188757,NA,NA,NA,NA
119233.3,123658.32415693,NA,NA,NA,NA
130508.6,125945.819527272,NA,NA,NA,NA
113454.3,127536.041959546,NA,NA,NA,NA
159880.2,125591.336070296,NA,NA,NA,NA
108093.8,134895.862275248,NA,NA,NA,NA
105237,113161.664462044,NA,NA,NA,NA
103348.1,125990.499869251,NA,NA,NA,NA
138243.2,130028.480041701,NA,NA,NA,NA
148421,126504.950765028,NA,NA,NA,NA
151198.8,152526.153663271,NA,NA,NA,NA
176958,120584.907674747,NA,NA,NA,NA
145863,144001.298594084,NA,NA,NA,NA
136053.1,136795.119974645,NA,NA,NA,NA
126769.1,137783.895919778,NA,NA,NA,NA
147081.5,125139.054613631,NA,NA,NA,NA
143674.1,155526.048215728,NA,NA,NA,NA
140667.9,125108.010966033,NA,NA,NA,NA
141146.9,131194.087808354,NA,NA,NA,NA
150216,131850.184615933,NA,NA,NA,NA
197712.3,151568.595327382,NA,NA,NA,NA
183164.2,170194.810267832,NA,NA,NA,NA
220295.1,166883.101221269,NA,NA,NA,NA
180459.3,193916.450851635,NA,NA,NA,NA
177511.1,163856.657237848,NA,NA,NA,NA
148322.2,164098.993949254,NA,NA,NA,NA
136680.2,151035.621004473,NA,NA,NA,NA
150381.5,156060.180415286,NA,NA,NA,NA
133448.1,155572.16677735,NA,NA,NA,NA
128992.6,147484.750665379,NA,NA,NA,NA
165524.7,144972.624361777,NA,NA,NA,NA
151479,161839.847618261,NA,NA,NA,NA
182903.7,175786.718590135,NA,NA,NA,NA
199316,173575.942096609,NA,NA,NA,NA
206904.9,198824.113764379,NA,NA,NA,NA
165127.2,179972.834235666,NA,NA,NA,NA
161980.2,169805.041780431,NA,NA,NA,NA
191277.8,155969.417512762,NA,NA,NA,NA
204459.3,167020.930239306,NA,NA,NA,NA
147151.9,181970.9556968,NA,NA,NA,NA
146402.5,152224.059676464,NA,NA,NA,NA
157793.8,151736.70569993,NA,NA,NA,NA
171934.6,172020.2359951,NA,NA,NA,NA
162127.2,165522.546062703,NA,NA,NA,NA
173704.9,177532.325595599,NA,NA,NA,NA
192549.4,183631.699345508,NA,NA,NA,NA
215040.7,191316.58763676,NA,NA,NA,NA
207066.7,181486.827284577,NA,NA,NA,NA
168312.3,185585.798180538,NA,NA,NA,NA
173144.4,185161.154791851,NA,NA,NA,NA
242993.8,187326.399766241,NA,NA,NA,NA
136842,187513.552534049,NA,NA,NA,NA
120828.4,157624.012420222,NA,NA,NA,NA
157479,154252.62165291,NA,NA,NA,NA
111424.7,170264.682893764,NA,NA,NA,NA
146249.4,144650.428307059,NA,NA,NA,NA
173538.3,161613.950637054,NA,NA,NA,NA
184680.2,177604.785766676,NA,NA,NA,NA
162780.2,188853.104345385,NA,NA,NA,NA
178883.9,173381.461381675,NA,NA,NA,NA
165822.2,163204.966272162,NA,NA,NA,NA
179933.3,166607.609939985,NA,NA,NA,NA
165917.3,201490.035632913,NA,NA,NA,NA
126365.4,139228.270342843,NA,NA,NA,NA
114227,132952.860994963,NA,NA,NA,NA
142521,145296.716580923,NA,NA,NA,NA
122675,129092.528484958,NA,NA,NA,NA
176911,143394.129499971,NA,NA,NA,NA
181506,170210.1570238,NA,NA,NA,NA
164574,173904.790330241,NA,NA,NA,NA
181680,157035.045910249,NA,NA,NA,NA
188057,174326.570108285,NA,NA,NA,NA
157505,169866.831781367,NA,NA,NA,NA
140510,167174.235352811,NA,NA,NA,NA
116897,151634.078874201,NA,NA,NA,NA
126201,126026.115854068,NA,NA,NA,NA
NA,NA,124115,128808.181513134,175228.223364644,82388.1396616249
NA,NA,146054,143316.788345966,193286.51510122,93347.0615907128
NA,NA,114939,135523.160550502,186488.299588115,84558.0215128886
NA,NA,124043,159007.039250456,210514.099473565,107499.979027347
NA,NA,150421,161044.423361822,212981.759789268,109107.086934376
NA,NA,156102,153801.260016319,206135.689794486,101466.830238153
NA,NA,182716,161145.28164226,213865.091543903,108425.471740616
NA,NA,176725,163882.659636353,216982.44378305,110782.875489655
NA,NA,152969,150777.407611114,204253.681728381,97301.1334938475
NA,NA,147668,143487.276035289,197337.171720311,89637.380350266
NA,NA,137526,133358.118903478,187578.990500339,79137.2473066156
NA,NA,113780,137349.247970742,191938.553016351,82759.9429251333
NA,NA,101330,138467.648800491,199037.877123987,77897.4204769948
NA,NA,106305,144691.370636214,206919.019849402,82463.7214230268
